slug_name,index_name,2014-15 ,2015-16(BE),2015-16(RE),2016-17(BE),viz_type,unit,notes,insights
ddrs_,DDRS ,50.08,54.0,47.0,40.5,simple_bar,Rs crore,,
national_institutes_,National Institutes ,133.45,118.0,158.18,162.74,simple_bar,Rs crore,,
adip_,ADIP ,101.16,112.95,136.35,117.0,simple_bar,Rs crore,,
pwd_act_implementation_,PWD Act Implementation ,43.09,98.2,79.23,,simple_bar,Rs crore,,
scheme_for_the_employment_of_the_physically_challenged,Scheme for the employment of the physically challenged,0.46,0.45,,,simple_bar,Rs crore,,
other_programmes_for_the_welfare_of_the_physically_handicapped_,Other programmes for the welfare of the physically handicapped ,15.94,44.79,53.8,,simple_bar,Rs crore,,
post_matric_scholarship_for_students_with_,Post Matric Scholarship for students with ,,10.8,9.0,7.2,simple_bar,Rs crore,,
disabilities,disabilities,,,,,simple_bar,Rs crore,,
nhfdc_,NHFDC ,36.58,31.5,31.85,27.0,simple_bar,Rs crore,,
alimco_,ALIMCO ,,21.0,5.0,5.0,simple_bar,Rs crore,,
rci_,RCI ,5.37,4.9,4.9,5.0,simple_bar,Rs crore,,
rajiv_gandhi_fellowship_,Rajiv Gandhi Fellowship ,7.46,7.2,19.77,,simple_bar,Rs crore,,
social_security_and_welfare_,Social security and welfare ,36.58,145.18,54.0,,simple_bar,Rs crore,,
national_fellowship_for_persons_with_disabilities,National Fellowship for Persons with Disabilities,,,,17.55,simple_bar,Rs crore,,
pre_matric_scholarship_for_students_with_disabilities,Pre Matric Scholarship for students with disabilities,,,,3.6,simple_bar,Rs crore,,
information_and_mass_education_,Information and Mass Education ,,,,70.0,simple_bar,Rs crore,,
"in_service_training_and_sensitisation,_employment_of_physically_challenged,_national_and_state_mission_and_awareness_generation_and_publicity_","In Service Training and sensitisation, employment of physically challenged, national and state mission and awareness generation and publicity ",,,,5.16,simple_bar,Rs crore,,
handling_clearance_of_duty_free_consignment_under_bilateral_agreement,Handling clearance of duty free consignment under bilateral agreement,,,,116.8,simple_bar,Rs crore,,
schemes_for_implementation_of_pwd_act_1995,Schemes for implementation of PWD Act 1995,,,,45.0,simple_bar,Rs crore,,
national_university_of_rehabilitation_science_and_disability_studies,National University of Rehabilitation Science and Disability Studies,,,,45.0,simple_bar,Rs crore,,
other_programmes_,Other Programmes ,,,,18.19,simple_bar,Rs crore,,
