slug_name,index_name,2011-12,2012-13,2013-14 ,2014-15,2015-16,2016-17 (BE),2016-17 (RE),2016-17(PR),2017-18 (BE),color,unit
disinvestment_receipts,Disinvestment Receipts,...,...,...,...,42131.69,36000,40000,...,46500,#6ea63a,Rs. Crore
strategic_disinvestment,Strategic Disinvestment,...,...,...,...,...,20500,5500,...,15000,#6ea63a,Rs. Crore
others_(listing_of_insurance_companies),Others (Listing of Insurance Companies),...,...,...,...,...,...,...,...,11000,#6ea63a,Rs. Crore
total,Total,...,...,...,...,42131.69,56500,45500,...,72500,#6ea63a,Rs. Crore
revenue_foregone_gdp_ratio,Revenue Foregone - GDP ratio,6.1,5.7,4.9,4.5,2.1,...,...,2.1,...,#84C444,Ratio
gross_tax_revenue,Gross Tax Revenue,,,,,,,1703242.94,,1911579.46,#6ea63a,Rs. Crore
corporation_tax,Corporation Tax,,,,,,,493923.5,,538744.73,#6ea63a,Rs. Crore
taxes_on_income,Taxes on Income,,,,,,,353173.7,,441255.27,#6ea63a,Rs. Crore
customs,Customs,,,,,,,217000,,245000,#6ea63a,Rs. Crore
union_excise_duties,Union Excise Duties,,,,,,,387368.58,,406900,#6ea63a,Rs. Crore
service_tax,Service Tax,,,,,,,247500,,275000,#6ea63a,Rs. Crore
taxes_on_union_territories,Taxes on Union Territories,,,,,,,4277.16,,4679.46,#6ea63a,Rs. Crore
